celltype,gene,species,source
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
